sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
BGP-CS-9-WH,,Clamshell Box,Bagasse Eco Range,9in,White,Fibre,42.00,250,,"The 9in white fibre Clamshell Box is moulded from plant fibre, a sturdy and sustainable alternative to foam. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Fully recyclable through standard paper or plastic recycling streams. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",9in white fibre Clamshell Box. Recyclable.,"9in white fibre Clamshell Box - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Recyclable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Clamshell Box 9in Recyclable | Afida,Shop 9in fibre Clamshell Box - recyclable. Cases of 250. Free UK delivery over £100. Order at Afida.,Recyclable
BGP,,Food Box,Bagasse Eco Range,large,,Bagasse,36.00,,,"The large bagasse Food Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A versatile food container that handles hot and cold dishes with equal confidence. Grease-resistant construction keeps food fresh and presentable. Stackable for efficient storage. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",large bagasse Food Box.,"large bagasse Food Box - versatile food container for hot and cold dishes. Grease-resistant. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Food Box large Bagasse | Afida,Shop large bagasse Food Box. Free UK delivery over £100. Order at Afida.,
BGP-TY-2,,Medium Chip Tray,Bagasse Eco Range,5in,,Bagasse,25.36,500,,"The 5in bagasse Medium Chip Tray is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. An open-top tray designed for chips, fries, wedges, and other snack foods. Grease-resistant construction prevents soggy bases. Lightweight and easy to hold, with enough depth to keep portions contained. Certified compostable - breaks down in industrial composting facilities.",5in bagasse Medium Chip Tray. Compostable.,"5in bagasse Medium Chip Tray - open-top tray for chips, fries, and snack foods. Grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Medium Chip Tray 5in Compostable | Afida,Shop 5in bagasse Medium Chip Tray - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-12-2,Vegware,Gourmet Base,Bagasse Eco Range,12oz / 340ml,,,56.31,600,Pack of 50: £10.24 | Case of 600: £56.31,"The Vegware 12oz / 340ml Gourmet Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 12oz / 340ml Gourmet Base. Compostable.,"Vegware 12oz / 340ml Gourmet Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base 12oz / 340ml Compostable | Afida,Shop Vegware 12oz / 340ml Gourmet Base - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-12,Vegware,Gourmet Dipping Base,Bagasse Eco Range,12oz / 360ml,,,57.39,600,Case (600): £57.39 | Pack (50): £10.98,"The Vegware 12oz / 360ml Gourmet Dipping Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 12oz / 360ml Gourmet Dipping Base. Compostable.,"Vegware 12oz / 360ml Gourmet Dipping Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Dipping Base 12oz / 360ml | Afida,Shop Vegware 12oz / 360ml Gourmet Dipping Base - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS-3,Vegware,Clamshell,Bagasse Eco Range,6in,,Bagasse,45.32,250,,"The Vegware 6in bagasse Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 6in bagasse Clamshell. Compostable.,"Vegware 6in bagasse Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Clamshell 6in Compostable | Afida,Shop Vegware 6in bagasse Clamshell - compostable. Cases of 250. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-16,Vegware,Gourmet Base,Bagasse Eco Range,16oz / 500ml,,,66.48,600,Case (600): £66.48 | Pack (50): £12.04,"The Vegware 16oz / 500ml Gourmet Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 16oz / 500ml Gourmet Base. Compostable.,"Vegware 16oz / 500ml Gourmet Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base 16oz / 500ml Compostable | Afida,Shop Vegware 16oz / 500ml Gourmet Base - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-18,Vegware,Gourmet Dipping Base,Bagasse Eco Range,,,,70.34,600,Case (600): £70.34 | Pack (50): £13.79,"The Vegware Gourmet Dipping Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Dipping Base.,"Vegware Gourmet Dipping Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Dipping Base | Afida,Shop Vegware Gourmet Dipping Base. Cases of 600. Free UK delivery over £100. Order at Afida.,
VEG-BGG-22-2,Vegware,Gourmet Base,Bagasse Eco Range,22oz / 650ml,,,73.65,600,Case (600): £73.65 | Pack (50): £12.96,"The Vegware 22oz / 650ml Gourmet Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 22oz / 650ml Gourmet Base. Compostable.,"Vegware 22oz / 650ml Gourmet Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base 22oz / 650ml Compostable | Afida,Shop Vegware 22oz / 650ml Gourmet Base - compostable. Cases of 600. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGG-32,Vegware,Gourmet Base,Bagasse Eco Range,,,,82.17,600,Case (600): £82.17 | Pack (50): £15.07,"The Vegware Gourmet Base. A wide, shallow bowl shape that works for salads, grain bowls, noodles, and sharing portions. Grease-resistant and sturdy enough for hot food service. Pairs with compatible Vegware lids for sealed takeaway and delivery. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base.,"Vegware Gourmet Base - versatile bowl design for hot and cold food. Sturdy and grease-resistant. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Gourmet Base | Afida,Shop Vegware Gourmet Base. Cases of 600. Free UK delivery over £100. Order at Afida.,
VEG-BGP-BG-3,Vegware,Burger Box,Bagasse Eco Range,5in,,Bagasse,34.94,500,Case (500): £34.94 | Pack (50): £9.10,"The Vegware 5in bagasse Burger Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. Hinged lid opens flat for easy loading and closes firmly to keep burgers warm and secure. Grease-resistant construction handles sauces and toppings without softening. Fits standard burger buns with room for fillings. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 5in bagasse Burger Box. Compostable.,"Vegware 5in bagasse Burger Box - sturdy construction holds burgers securely. Grease-resistant and keeps contents warm. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Burger Box 5in Compostable | Afida,Shop Vegware 5in bagasse Burger Box - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-BG-2,Vegware,Burger Box,Bagasse Eco Range,6in,,Bagasse,55.76,500,Case (500): £55.76 | Pack (50): £13.25,"The Vegware 6in bagasse Burger Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. Hinged lid opens flat for easy loading and closes firmly to keep burgers warm and secure. Grease-resistant construction handles sauces and toppings without softening. Fits standard burger buns with room for fillings. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 6in bagasse Burger Box. Compostable.,"Vegware 6in bagasse Burger Box - sturdy construction holds burgers securely. Grease-resistant and keeps contents warm. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Burger Box 6in Compostable | Afida,Shop Vegware 6in bagasse Burger Box - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-BG,Vegware,Heavyweight Burger Box,Bagasse Eco Range,5in,,Bagasse,63.33,500,Case (500): £63.33 | Pack (50): £17.90,"The Vegware 5in bagasse Heavyweight Burger Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. Hinged lid opens flat for easy loading and closes firmly to keep burgers warm and secure. Grease-resistant construction handles sauces and toppings without softening. Fits standard burger buns with room for fillings. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 5in bagasse Heavyweight Burger Box. Compostable.,"Vegware 5in bagasse Heavyweight Burger Box - sturdy construction holds burgers securely. Grease-resistant and keeps contents warm. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Heavyweight Burger Box 5in Compostable | Afida,Shop Vegware 5in bagasse Heavyweight Burger Box - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS-7,Vegware,Clamshell,Bagasse Eco Range,5in,,Bagasse,51.86,500,Case (500): £51.86 | Pack (50): £12.35,"The Vegware 5in bagasse Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 5in bagasse Clamshell. Compostable.,"Vegware 5in bagasse Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Clamshell 5in Compostable | Afida,Shop Vegware 5in bagasse Clamshell - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS-2,Vegware,Heavyweight Clamshell,Bagasse Eco Range,5in,,Bagasse,64.67,500,Case (500): £64.67 | Pack (50): £18.18,"The Vegware 5in bagasse Heavyweight Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 5in bagasse Heavyweight Clamshell. Compostable.,"Vegware 5in bagasse Heavyweight Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Heavyweight Clamshell 5in Compostable | Afida,Shop Vegware 5in bagasse Heavyweight Clamshell - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS-6,Vegware,Clamshell,Bagasse Eco Range,7in,,Bagasse,68.66,500,Case (500): £68.66 | Pack (50): £15.80,"The Vegware 7in bagasse Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 7in bagasse Clamshell. Compostable.,"Vegware 7in bagasse Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Clamshell 7in Compostable | Afida,Shop Vegware 7in bagasse Clamshell - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-SQ-RD,Vegware,Source Reduced Square Lunch Box,Bagasse Eco Range,8in,,,34.31,200,Case (200): £34.31 | Pack (50): £23.72,"The Vegware 8in Source Reduced Square Lunch Box. A spacious food container for full meals - curries, rice dishes, salads, and multi-component lunches. The hinged lid keeps food secure during transport. Grease-resistant and sturdy enough for hot and cold foods. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 8in Source Reduced Square Lunch Box. Compostable.,"Vegware 8in Source Reduced Square Lunch Box - generous capacity for full meals. Hinged lid keeps food secure. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Source Reduced Square Lunch Box 8in | Afida,Shop Vegware 8in Source Reduced Square Lunch Box - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-SQ-2,Vegware,Square Lunch Box,Bagasse Eco Range,8in,,Bagasse,38.10,200,Case (200): £38.10 | Pack (50): £26.34,"The Vegware 8in bagasse Square Lunch Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A spacious food container for full meals - curries, rice dishes, salads, and multi-component lunches. The hinged lid keeps food secure during transport. Grease-resistant and sturdy enough for hot and cold foods. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 8in bagasse Square Lunch Box. Compostable.,"Vegware 8in bagasse Square Lunch Box - generous capacity for full meals. Hinged lid keeps food secure. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Square Lunch Box 8in Compostable | Afida,Shop Vegware 8in bagasse Square Lunch Box - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-SQ,Vegware,Square 3-Comp Lunch Box,Bagasse Eco Range,9in,,Bagasse,42.98,200,Case (200): £42.98 | Pack (50): £23.72,"The Vegware 9in bagasse Square 3-Comp Lunch Box is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A spacious food container for full meals - curries, rice dishes, salads, and multi-component lunches. The hinged lid keeps food secure during transport. Grease-resistant and sturdy enough for hot and cold foods. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 9in bagasse Square 3-Comp Lunch Box. Compostable.,"Vegware 9in bagasse Square 3-Comp Lunch Box - generous capacity for full meals. Hinged lid keeps food secure. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware Square 3-Comp Lunch Box 9in Compostable | Afida,Shop Vegware 9in bagasse Square 3-Comp Lunch Box - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BGP-CS-4,Vegware,2-Compartment Clamshell,Bagasse Eco Range,6in,,Bagasse,35.30,200,Case (200): £35.30 | Pack (50): £20.14,"The Vegware 6in bagasse 2-Compartment Clamshell is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. The hinged clamshell design opens flat for easy loading and closes firmly to keep contents warm and secure during transport. Grease-resistant construction handles saucy foods without softening or leaking. Stackable for efficient storage and transport. Certified compostable - breaks down in industrial composting facilities. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 6in bagasse 2-Compartment Clamshell. Compostable.,"Vegware 6in bagasse 2-Compartment Clamshell - hinged design for easy loading and a secure close. Grease-resistant and sturdy. Compostable. Suited to takeaways, street food vendors, cafés, restaurants, and event catering.",Vegware 2-Compartment Clamshell 6in Compostable | Afida,Shop Vegware 6in bagasse 2-Compartment Clamshell - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
