keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url,cluster,bucket,target
cake boxes,5700,2,1,cater4you.co.uk,14,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/,cake-boxes,3,(new range) cake & cupcake boxes
paper plates,5300,0,1,cater4you.co.uk,16,https://cater4you.co.uk/product-category/tableware/paper-plates/,paper-plates,1,/categories/tableware/plates-and-bowls (split: plates)
plastic cups,4600,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/disposable-plastic-cups,skip-plastic-partyware,skip,
plastic wine glasses,4300,0,2,cater4you.co.uk,4,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-wine-glasses/,skip-plastic-partyware,skip,
plastic straws,3900,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/drinking-straws,skip-plastic-partyware,skip,
food boxes,3500,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/food-carriers,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
plastic glasses,3400,0,2,cater4you.co.uk,10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,skip-plastic-partyware,skip,
plastic champagne flutes,3000,0,2,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/plastic-champagne-flutes,skip-plastic-partyware,skip,
burger box,3000,0,2,cater4you.co.uk,8,https://cater4you.co.uk/product-category/food-packaging/burger-boxes/,burger-boxes,2,(new page) burger boxes
disposable plates,2800,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/tableware/plates,paper-plates,1,/categories/tableware/plates-and-bowls (split: plates)
paper bags,2800,1,1,cater4you.co.uk,13,https://cater4you.co.uk/product-category/bags/,paper-bags,1,/categories/bags-and-wraps/bags
greaseproof paper,2600,0,1,takeawaypackaging.co.uk,13,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/,greaseproof,1,/categories/bags-and-wraps/greaseproof-and-wraps
paper cups,2600,9,1,cupsdirect.co.uk,14,https://cupsdirect.co.uk/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
