keyword,best_position,best_position_url,volume,keyword_difficulty
"cake boxes",14,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/,5700,2
"paper plates",16,https://cater4you.co.uk/product-category/tableware/paper-plates/,5300,0
"plastic wine glasses",4,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-wine-glasses/,4300,0
"food boxes",16,https://cater4you.co.uk/Food,3500,0
"plastic glasses",10,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/,3400,0
"burger box",8,https://cater4you.co.uk/product-category/food-packaging/burger-boxes/,3000,0
"plastic champagne flutes",17,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,3000,0
"paper bags",13,https://cater4you.co.uk/product-category/bags/,2800,1
"plastic containers",4,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,2500,7
"food packaging",17,https://cater4you.co.uk/product-category/food-packaging/,2500,34
"margarita glasses",20,https://cater4you.co.uk/product/premium-plastic-margarita-glasses-320ml/,2400,0
"foil trays",4,https://cater4you.co.uk/product-category/food-packaging/foil-trays-and-pie-dishes/,2200,0
"500ml",8,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/,2100,0
"kitchen foil",15,https://cater4you.co.uk/product/bakewell-kitchen-quality-aluminium-foil-45cm-x-75m/,2000,0
"plastic bottles",16,https://cater4you.co.uk/product-category/food-packaging/plastic-juice-bottles/,1900,12
"plastic shot glasses",10,https://cater4you.co.uk/product/mg5cl-5cl-50ml-disposable-plastic-tasting-shot-glasses/,1900,0
"plastic container",8,https://cater4you.co.uk/product/2-compartment-750cc-clear-rectangular-plastic-container-and-lid/,1800,18
"food containers with lids",11,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,1700,4
"serviettes",17,https://cater4you.co.uk/product-category/tableware/paper-napkins/,1600,0
"plastic containers with lids",3,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,1600,3
"cake boxes near me",18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-boxes/,1600,1
"cake slice",18,https://cater4you.co.uk/product-category/bakery-and-cakes/cake-slice-boxes/,1600,0
"port glass",19,https://cater4you.co.uk/Shop,1500,0
"aluminium foil",14,https://cater4you.co.uk/product-category/catering-disposables/aluminium-foil/,1500,3
"plastic prosecco glasses",11,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,1500,0
"brown paper bags",6,https://cater4you.co.uk/product/small-brown-handles-paper-bags/,1500,0
"plastic cocktail glasses",3,https://cater4you.co.uk/product/unbreakable-plastic-cocktail-glasses/,1500,0
"dessert cups",5,https://cater4you.co.uk/product-category/food-packaging/dessert-cups-pots-lids/,1400,0
"bento boxes",20,https://cater4you.co.uk/Food,1400,12
"food storage containers with lids",16,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,1300,4
"plastic food containers",2,https://cater4you.co.uk/product-category/food-packaging/plastic-take-away-containers/,1300,6
"500ml bottle",16,https://cater4you.co.uk/product/500ml-round-plastic-rpet-juice-bottle-with-tamper-evident-cap/,1200,0
"cater",12,https://cater4you.co.uk/,1100,54
"plastic champagne glasses",20,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-prosecco-champagne-flutes/,1100,0
"plastic pint glasses",16,https://cater4you.co.uk/product-category/cups-glasses/plastic-glasses/plastic-pint-half-pint-glasses/,1100,0
