sku,description_short,description_standard,description_detailed
PLPC90B,"Black PP sip lids for 12oz coffee cups. Recyclable polypropylene with secure snap-fit closure for hot drinks on the go.","Black polypropylene sip lids designed for 12oz takeaway coffee cups. The secure snap-fit closure prevents spills during transport, while the raised sip opening allows comfortable drinking. Recyclable after use. Pack of 1000.","These black PP sip lids provide a sleek, professional finish for 12oz hot drink cups. The polypropylene construction offers durability and heat resistance, making them ideal for busy coffee shops and cafes. The secure snap-fit rim grips standard 90mm diameter cups firmly to prevent leaks during transport. The raised sip opening allows comfortable drinking while keeping drinks hot. Black colour suits premium cafe aesthetics and hides coffee residue. Fully recyclable through standard plastic recycling streams. Compatible with our 12oz single wall, double wall, and ripple wall coffee cups. Pack of 1000 lids for high-volume service."
PLPC90W,"White PP sip lids for 12oz coffee cups. Recyclable polypropylene with secure snap-fit closure for takeaway hot drinks.","White polypropylene sip lids designed for 12oz takeaway coffee cups. The secure snap-fit closure prevents spills during transport, while the raised sip opening allows comfortable drinking. Recyclable after use. Pack of 1000.","These white PP sip lids provide a clean, classic finish for 12oz hot drink cups. The polypropylene construction offers durability and heat resistance, making them ideal for busy coffee shops and cafes. The secure snap-fit rim grips standard 90mm diameter cups firmly to prevent leaks during transport. The raised sip opening allows comfortable drinking while keeping drinks hot. White colour offers a fresh, bright appearance that complements any cup design. Fully recyclable through standard plastic recycling streams. Compatible with our 12oz single wall, double wall, and ripple wall coffee cups. Pack of 1000 lids for high-volume service."
12BL-PC,"Compostable bagasse sip lids for 12oz coffee cups. Made from sugarcane fibre, fully biodegradable and eco-friendly.","White bagasse sip lids for 12oz coffee cups made from sugarcane fibre. Fully compostable in commercial facilities. The secure fit prevents spills while the natural material appeals to eco-conscious customers. Pack of 1000.","These bagasse sip lids offer the most sustainable option for 12oz hot drinks. Made from bagasse - the natural fibre left after sugarcane processing - they're 100% plant-based and commercially compostable. Unlike plastic lids, they break down in composting facilities within weeks alongside food waste. The sip-through opening provides easy drinking access while the secure 90mm rim fit prevents spills during transport. The natural white colour and eco credentials appeal to environmentally conscious customers. Perfect for zero-waste cafes, eco-conscious coffee shops, and businesses prioritising sustainability. Pair with our compostable paper cups for a fully plastic-free hot drinks service. Pack of 1000 lids."
PLPC62B,"Black rPET sip lids for 4oz espresso cups. Recyclable plastic with secure fit for small hot drinks.","Black rPET sip lids designed for 4oz espresso cups. Made from recycled plastic and fully recyclable again. The compact 62mm size fits espresso cups perfectly with a secure snap-fit closure. Pack of 1000.","These black rPET sip lids are purpose-built for 4oz espresso cups. Made from recycled PET plastic, they combine eco credentials with excellent performance. The 62mm diameter fits standard espresso cup rims securely, preventing spills during transport. The raised sip opening allows comfortable drinking of hot espresso and cortado drinks. The sleek black finish creates a premium aesthetic for upscale coffee service. Fully recyclable after use, supporting circular economy principles. Lightweight construction keeps shipping costs down while maintaining durability. Ideal for specialty coffee shops, high-street chains, and catering operations. Pack of 1000 lids for high-volume espresso service."
PLPC62W,"White rPET sip lids for 4oz espresso cups. Recyclable plastic with secure fit for small hot drinks.","White rPET sip lids designed for 4oz espresso cups. Made from recycled plastic and fully recyclable again. The compact 62mm size fits espresso cups perfectly with a secure snap-fit closure. Pack of 1000.","These white rPET sip lids are purpose-built for 4oz espresso cups. Made from recycled PET plastic, they combine eco credentials with excellent performance. The 62mm diameter fits standard espresso cup rims securely, preventing spills during transport. The raised sip opening allows comfortable drinking of hot espresso and cortado drinks. The clean white finish offers a fresh, bright appearance for any cafe setting. Fully recyclable after use, supporting circular economy principles. Lightweight construction keeps shipping costs down while maintaining durability. Ideal for specialty coffee shops, high-street chains, and catering operations. Pack of 1000 lids for high-volume espresso service."
PLPC80W,"White rPET sip lids for 8oz coffee cups. Recyclable plastic with secure snap-fit for flat whites and cappuccinos.","White rPET sip lids designed for 8oz coffee cups. Made from recycled plastic and fully recyclable. The 80mm diameter fits standard cups securely with a raised sip opening for comfortable drinking. Pack of 1000.","These white rPET sip lids are designed for 8oz coffee cups - the most popular size for flat whites, cappuccinos, and small lattes. Made from recycled PET plastic, they're eco-friendly and fully recyclable after use. The 80mm diameter creates a secure snap-fit on standard cup rims, preventing spills during transport. The raised sip opening allows comfortable drinking while retaining heat. White colour provides a clean, professional appearance that suits any cafe aesthetic. Lightweight yet durable construction ensures reliable performance. Compatible with our 8oz single wall, double wall, and ripple wall cups. Pack of 1000 lids for busy coffee shops and catering."
8BL-PC,"Compostable bagasse sip lids for 8oz coffee cups. Made from sugarcane fibre, fully biodegradable and eco-friendly.","White bagasse sip lids for 8oz coffee cups made from sugarcane fibre. Fully compostable in commercial facilities. The 80mm secure fit prevents spills while the natural material supports sustainability goals. Pack of 1000.","These bagasse sip lids offer the most sustainable option for 8oz hot drinks. Made from bagasse - the natural fibre remaining after sugarcane processing - they're 100% plant-based and commercially compostable. Break down in composting facilities within weeks alongside food waste. The sip-through opening provides easy drinking access for flat whites and cappuccinos while the secure 80mm rim fit prevents spills. The natural white colour and eco credentials appeal to environmentally conscious customers visiting specialty coffee shops. Perfect for zero-waste cafes and businesses where sustainability credentials matter. Pair with our compostable paper cups for completely plastic-free service. Pack of 1000 lids."
PLPC80B,"Black rPET sip lids for 8oz coffee cups. Recyclable plastic with secure snap-fit for flat whites and cappuccinos.","Black rPET sip lids designed for 8oz coffee cups. Made from recycled plastic and fully recyclable. The 80mm diameter fits standard cups securely with a raised sip opening for comfortable drinking. Pack of 1000.","These black rPET sip lids are designed for 8oz coffee cups - the most popular size for flat whites, cappuccinos, and small lattes. Made from recycled PET plastic, they're eco-friendly and fully recyclable after use. The 80mm diameter creates a secure snap-fit on standard cup rims, preventing spills during transport. The raised sip opening allows comfortable drinking while retaining heat. The sophisticated black finish creates a premium cafe aesthetic and hides coffee marks. Lightweight yet durable construction ensures reliable performance. Compatible with our 8oz single wall, double wall, and ripple wall cups. Pack of 1000 lids for busy coffee shops and catering."
UKMRHFP,"Half-pint UKCA marked compostable cups for pubs, bars, and events. CE compliant paper cups with PLA lining.","Half-pint UKCA marked compostable cups designed for licensed venues. White paper with plant-based PLA lining meets UK licensing requirements. Perfect for craft beer tastings, wine samples, and soft drinks at events. Pack of 1000.","These half-pint UKCA marked cups meet UK licensing requirements for serving measured drinks at pubs, bars, and events. The clear UKCA marking with half-pint line ensures trading standards compliance for licensed premises. Made from white paper with a plant-based PLA lining, they're commercially compostable - ideal for eco-conscious venues and outdoor festivals where waste management matters. The sturdy construction handles beer, cider, wine, and soft drinks confidently. Perfect for craft beer tastings, wine samples, festival bars, and any venue needing compliant disposable glassware. The compostable credentials appeal to environmentally aware customers. Pack of 1000 cups for high-volume events and busy venues."
UKMRFP,"Pint UKCA marked compostable cups for pubs, bars, and festivals. CE compliant paper cups with PLA lining.","Pint-to-line UKCA marked compostable cups designed for licensed venues. White paper with plant-based PLA lining meets UK licensing requirements. Perfect for beer festivals, outdoor events, and pub gardens. Pack of 1000.","These pint UKCA marked cups meet UK licensing requirements for serving full pints at pubs, bars, and festivals. The clear UKCA marking with pint-to-line ensures trading standards compliance for licensed premises. Made from white paper with a plant-based PLA lining, they're commercially compostable - ideal for eco-conscious venues and outdoor festivals where waste management matters. The sturdy construction handles beer, cider, and soft drinks confidently without becoming soggy. Perfect for beer festivals, outdoor concerts, pub gardens, sports events, and any venue needing compliant disposable pint glasses. The compostable credentials support sustainability goals and appeal to environmentally aware customers. Pack of 1000 cups for high-volume events."
